0	0.916465 3
0.01	0.915527 3
0.02	0.309116 3
0.03	-0.224493 3
0.04	0.643958 3
0.05	-2.11377 3
0.06	-2.95683 3
0.07	-0.668207 3
0.08	2.96963 3
0.09	3.96534 3
0.1	1.60279 3
0.11	0.723315 3
0.12	0.86718 3
0.13	-0.0616802 3
0.14	0.618151 3
0.15	2.8116 3
0.16	-2.71492 3
0.17	-0.421121 3
0.18	0.548239 3
0.19	3.16704 3
0.2	4.01626 3
0.21	-0.887868 3
0.22	0.477774 3
0.23	0.674782 3
0.24	-3.5819 3
0.25	0.311729 3
0.26	0.431847 3
0.27	0.726644 3
0.28	-1.06989 3
0.29	-0.0358767 3
0.3	-3.09148 3
0.31	0.839192 3
0.32	1.58404 3
0.33	-2.66295 3
0.34	3.41179 3
0.35	-1.29058 3
0.36	1.90371 3
0.37	-3.28911 3
0.38	0.554621 3
0.39	-0.212998 3
0.4	-0.506499 3
0.41	0.182603 3
0.42	3.59073 3
0.43	-2.40749 3
0.44	-0.123416 3
0.45	-1.22322 3
0.46	-1.97799 3
0.47	-0.712624 3
0.48	-1.03937 3
0.49	-4.53583 3
0.5	-0.491759 3
0.51	-0.32717 3
0.52	-1.36632 3
0.53	-0.607141 3
0.54	1.76921 3
0.55	-4.06391 3
0.56	3.23447 3
0.57	-0.813497 3
0.58	-1.01172 3
0.59	-4.44768 3
0.6	-0.691964 3
0.61	-0.584114 3
0.62	-0.308269 3
0.63	0.236328 3
0.64	1.05639 3
0.65	-3.55899 3
0.66	-4.42373 3
0.67	-2.09569 3
0.68	-0.575436 3
0.69	-1.12551 3
0.7	0.221174 3
0.71	1.08241 3
0.72	-3.45093 3
0.73	3.00713 3
0.74	-0.681012 3
0.75	-2.86373 3
0.76	2.62323 3
0.77	3.31627 3
0.78	1.18416 3
0.79	2.19186 3
0.8	-1.08575 3
0.81	0.772194 3
0.82	-0.292799 3
0.83	-0.773898 3
0.84	3.4921 3
0.85	-0.408089 3
0.86	-0.527125 3
0.87	3.26947 3
0.88	-4.21411 3
0.89	-0.071757 3
0.9	0.188325 3
0.91	-0.955652 3
0.92	-0.0179579 3
0.93	0.159679 3
0.94	3.48237 3
0.95	-1.12508 3
0.96	2.10273 3
0.97	0.431159 3
0.98	-3.67394 3
0.99	1.71543 3
1	-2.33558 3
1.01	-0.256993 3
1.02	4.24742 3
1.03	-1.68895 3
1.04	-2.65828 3
1.05	-0.365332 3
1.06	0.358647 3
1.07	-1.99986 3
1.08	-0.00303769 3
1.09	1.56508 3
1.1	2.44216 3
1.11	0.258672 3
1.12	4.32453 3
1.13	-0.84292 3
1.14	0.454099 3
1.15	4.00146 3
1.16	-3.2743 3
1.17	0.584709 3
1.18	0.964714 3
1.19	-3.01222 3
1.2	2.0827 3
1.21	0.571823 3
1.22	1.1765 3
1.23	-3.18185 3
1.24	0.835433 3
1.25	3.60398 3
1.26	4.42574 3
1.27	2.09288 3
1.28	3.02913 3
1.29	1.1454 3
1.3	-3.15984 3
1.31	0.640597 3
1.32	-2.05286 3
1.33	1.29474 3
1.34	-0.576743 3
1.35	0.80881 3
1.36	-2.53592 3
1.37	-3.24361 3
1.38	2.29968 3
1.39	-2.08261 3
1.4	-3.01761 3
1.41	-3.44705 3
1.42	0.383377 3
1.43	0.846117 3
1.44	4.32294 3
1.45	0.497517 3
1.46	3.04912 3
1.47	3.8942 3
1.48	4.31403 3
1.49	-1.77222 3
1.5	3.35774 3
1.51	4.04147 3
1.52	1.75209 3
1.53	-2.38329 3
1.54	0.636956 3
1.55	-1.03043 3
1.56	0.154832 3
1.57	0.324714 3
1.58	-0.795012 3
1.59	-0.00939532 3
1.6	-2.61201 3
1.61	3.30922 3
1.62	0.888778 3
1.63	-0.327883 3
1.64	2.73604 3
1.65	-1.0204 3
1.66	1.14264 3
1.67	-2.80163 3
1.68	3.00768 3
1.69	3.52879 3
1.7	-2.35054 3
1.71	2.41166 3
