# Spalte 1: Zeit / s
# Spalte 2: x
# Spalte 3: sigma_x
   1.00000000      0.822350740     -0.291915804    
   2.00000000       2.59992409       1.19528222    
   3.00000000       1.06593728      0.250372231    
   4.00000000     -0.361742496     -0.242994726    
   7.00000000      0.319537908      0.513922453    
   8.00000000     -0.471693277     -0.476872563    
   9.00000000       5.28716594E-02  0.272938013    
   10.0000000      0.316224843      0.860862613    
   11.0000000      -1.35996795     -0.913612902    
   12.0000000      0.607492328      0.372094452    
   14.0000000      0.183093369      -1.15872717    
   15.0000000      0.733366311       6.32696599E-03
   16.0000000     -0.538972616     -0.119224072    
   17.0000000     -0.615907609      0.680905461    
   18.0000000      -1.07925355      0.230564132    
   19.0000000     -0.885145843     -0.340964973    
   20.0000000      0.470756233      0.123282611    
   21.0000000      0.859768391      0.132352114    
   22.0000000      0.836457133      0.340917706    
   23.0000000      0.402154267      0.307813883    
   24.0000000      0.605213642      0.583226383    
   25.0000000      0.570622861      0.241489872    
   26.0000000       1.19836426      0.620473623    
   27.0000000     -0.168101549     -0.466843605    
   28.0000000      -1.73771954      -1.24405551    
   29.0000000     -0.751672745      0.477771908    
   31.0000000     -0.827724814     -0.412947953    
   32.0000000       1.17892337      0.438828528    
   33.0000000       1.95533776      0.554670274    
   34.0000000      0.267111331     -0.877322912    
   35.0000000       4.60519791E-02 -0.216156483    
   36.0000000      -1.40624833     -0.877703130    
   37.0000000      0.448711038       1.15933895    
   38.0000000     -0.731354594     -0.362031639    
   40.0000000      0.358417928      0.443613172    
   41.0000000     -0.350182086       8.33050907E-02
   42.0000000     -0.117631406      0.444898903    
   43.0000000      0.533401370      0.636608124    
   44.0000000       1.64783859      0.900043488    
   45.0000000     -0.470291555      -1.80029321    
   46.0000000       2.31680775       1.23301029    
   47.0000000     -0.301691860     -0.375123382    
   48.0000000      -1.06164384      -4.62239087E-02
   49.0000000     -0.514852524      0.906236053    
   50.0000000      -1.36191964     -0.439366877    
   51.0000000      0.843424261      0.832989454    
   52.0000000       1.68698394       1.03376269    
   53.0000000     -0.198113859     -0.844100058    
   54.0000000      0.462748766      0.218937784    
   55.0000000      -1.17862487      -1.17400193    
   56.0000000     -0.543598890     -0.719601512    
   57.0000000     -0.254293621     -0.772429526    
   58.0000000       1.63221037       1.13942552    
   59.0000000      0.879584670       1.00879526    
   60.0000000       5.82750440E-02   1.03658235    
   61.0000000      0.295574605       1.65090573    
   63.0000000       1.56096900       1.28579640    
   64.0000000       1.38388944      0.155388951    
   65.0000000       1.53575027      0.176428795    
   66.0000000     -0.621015191      -1.28279722    
   67.0000000     -0.370392859     -0.114808500    
   68.0000000      -1.61427438     -0.896381855    
   69.0000000     -0.848545909     -0.303037196    
   70.0000000     -0.425919175     -0.292431533    
   71.0000000     -0.599159658     -0.593446851    
   72.0000000     -0.317834079      -3.52679715E-02
   73.0000000      -1.23460412     -0.665373027    
   74.0000000      -1.35266685     -0.984971046    
   75.0000000     -0.404327959     -0.787814140    
   76.0000000      0.880445719     -0.286056459    
   77.0000000       1.77258801      0.472602069    
   78.0000000       8.71319324E-02 -0.464868844    
   80.0000000      -2.26312900     -0.896469891    
   81.0000000     -0.861556530      0.360848814    
   82.0000000     -0.709377766     -0.327556312    
   83.0000000       1.10445237      0.646227837    
   84.0000000       1.08349955      0.359326541    
   85.0000000      0.269273102     -0.154400766    
   86.0000000       8.19390118E-02   3.14864218E-02
   87.0000000       8.65840390E-02   3.21514048E-02
   88.0000000      0.933429062      0.542664468    
   90.0000000      0.404486448      0.213082984    
   91.0000000      -1.28007174     -0.638331115    
   92.0000000      -1.69744968     -0.401427090    
   93.0000000      0.461685002       1.62598968    
   94.0000000      0.413698196      0.634123623    
   95.0000000      0.754195869     -0.151118755    
   96.0000000       1.39889669      -2.37748995E-02
   97.0000000       1.38314545      0.360628843    
   98.0000000      -5.64821959E-02 -0.159347355    
   99.0000000      0.455910921       1.06348014    
